02KK4;u30421;u30421;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA ;6094934000116;"01;02;03;04;05;06;07"
02KKE;u30421;u30421;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA ;14958252000132;"01;02;03;04;05;06;07"
02KKD;u30421;u30421;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA ;23970895000192;"01;02;03;04;05;06;07"
02M0G;105547;105547;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA ;6094934000116;"01;02;03;04;05;06;07"
02M0M;105547;105547;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA ;14958252000132;"01;02;03;04;05;06;07"
02M0J;105547;105547;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA ;23970895000192;"01;02;03;04;05;06;07"
4128;104936;104936;MOTOLINER;MOTOLINER FORTALEZA LTD ;4525822000147;"01;02;03;04;05;06;07"
4804;104936;104936;MOTOLINER;MOTOLINER FORTALEZA LTD ;4525822001623;"01;02;03;04;05;06;07"
6640;104936;104936;MOTOLINER;MOTOLINER FORTALEZA LTD ;4525822000228;"01;02;03;04;05;06;07"
058P8;139184;139184;MOTOLINER;STORK TRANSPORTE E LOGISTICA LTDA ;4525822000147;"01;02;03;04;05;06;07"
058P9;139184;139184;MOTOLINER;STORK TRANSPORTE E LOGISTICA LTDA ;4525822000228;"01;02;03;04;05;06;07"
058PB;139184;139184;MOTOLINER;STORK TRANSPORTE E LOGISTICA LTDA ;4525822000651;"01;02;03;04;05;06;07"
058PG;139184;139184;MOTOLINER;STORK TRANSPORTE E LOGISTICA LTDA ;4525822000490;"01;02;03;04;05;06;07"
0304M;152298;152298;BOA VISTA;BOAVISTA SYSTEM IT C E A TEC EM INF LTDA EPP ;15426079000194;"01;02;03;04;05;06;07"
02X4N;152298;152298;BOA VISTA;BOA VISTA SERVICOS TECNOLOGICOS EIRELI EPP ;2194338000157;"01;02;03;04;05;06;07"
040PX;152298;152298;BOA VISTA;BOAVISTA SERVICE TECH FINANCIAL EIRELI ;28801054000175;"01;02;03;04;05;06;07"
032CH;285032;285032;COMERCIAL MAIA;COMERCIAL MAIA LTDA ;7577414000127;"01;02;03;04;05;06;07"
031LG;599233;599233;COMERCIAL MAIA;COMERCIAL MAIA LTDA;7577414000127;"01;02;03;04;05;06;07"
032CJ;285032;285032;COMERCIAL MAIA;V L P MAIA    ;11506747000132;"01;02;03;04;05;06;07"
11379;915813;915813;J MACHADO ;J MACHADO COMERCIO DE PETROLEO LTD ;23496359000105;"01;02;03;04;05;06;07"
11382;915813;915813;J MACHADO ;J MACHADO;7667429000186;"01;02;03;04;05;06;07"
11383;915813;915813;J MACHADO ;J MACHADO;7694804000187;"01;02;03;04;05;06;07"
11384;915813;915813;J MACHADO ;J MACHADO LANCHONETE LTDA ;7783716000151;"01;02;03;04;05;06;07"
48097;554743;554743;J MACHADO ;J MACHADO COMÉRCIO DE ALIMENTOS LTDA ;7667429000186;"01;02;03;04;05;06;07"
03S9Q;915813;915813;J MACHADO ;POSTO & ESTACIONAM NOSSA SRA DE FATIMA EIRELI  (J MACHADO) ;29351385000113;"01;02;03;04;05;06;07"
03ZY1;75671;756710;FAE;FAE SISTEMAS DE MEDICAO S/A ;7281413000130;"01;02;03;04;05;06;07"
B4040;893811;893811;SOLAR MAGAZINE;SOLAR MAGAZINE ;23708712000246;"01;02;03;04;05;06;07"
B4073;940111;940111;SOLAR MAGAZINE;SOLAR MAGAZINE ;23708712000246;"01;02;03;04;05;06;07"
B1780;152209;152209;LION ;LION ENERGY SERVIÇOS DE ELETRIFICAÇÃO LTDA;20306691000163;"01;02;03;04;05;06;07"
6669;152209;152209;LION ;LOPRESE  LOCAÇÃO E PRESTAÇÃO DE SERVIÇOS DE ELETRIFICAÇÃO LTDA;7801475000126;"01;02;03;04;05;06;07"
03PKK;152209;152209;LION ;CONSÓRCIO EM REDE EFICAZ X LION;32613794000155;"01;02;03;07"
06NQH;152209;152209;LION ;CONSORCIO REDE;44782608000190;"07;"
05Y16;152209;152209;LION;LION ENERGY SERVICOS DE ELETRIFICACAO LTDA;20306691000163;"01;02;03;04;05;06;07"
06NQL;152209;152209;LION;CONSORCIO REDE;44782608000190;"07;"
28323;228368;228368;NORMATEL;NORMATEL ENGENHARIA LTDA;5353545000103;"01;02;03;04;05;06;07"
051YR;228368;228368;NORMATEL;NORMATEL ENGENHARIA LTDA;5353545000103;"01;02;03;04;05;06;07"
19764;135399;135399;MRH;MRH  GESTAO DE ARQUIVOS E INFORMACOES LTDA (MATRIZ) FORTALEZA;23569056000167;"01;02;03;04;05;06;07"
19766;135399;135399;MRH;MRH  GESTAO DE PESSOAS E SERVICOS LTDA (MATRIZ) FORTALEZA;11088796000100;"01;02;03;04;05;06;07"
04YVN;135399;135399;MRH;INSTITUTO PARA QUALIFICACAO E INSERCAO PROFISSIONAL  IJOVEM (MATRIZ) FORTALEZA;15401674000175;"01;02;03;04;05;06;07"
05HH9;135399;135399;MRH;MRH LOCACAO DE MAODEOBRA LTDA (FILIAL) NATAL;41429879000330;"01;02;03;04;05;06;07"
05R3M;135399;135399;MRH;INST PARA QUALIF E INSERCAO PROFISSIONAL JOÃO PESSOA;15401674000256;"07;"
05R3P;135399;135399;MRH;INST PARA QUALIF E INSERCAO PROFISSIONAL NATAL;15401674000337;"05;06;07"
05R3Q;135399;135399;MRH;MRH GESTAO DE PESSOAS E SERVICOS LTDA NATAL;11088796000364;"03;04;05;06;07"
0182E;930927;930927;ELLCA;ELLCA 2 SERVIÇOS & LOCAÇOES LTDA ;20293552000142;"01;02;03;04;05;06;07"
33624;102030;102030;HOPE;HOPE DO NORDESTE LTDA;3007414000130;"01;02;03;04;05;06;07"
B0285;703349;703349;COLEGIO MASTER;CENTRO EDUCACIONAL MASTER LTDA;3413105000160;"03;04;05;07"
B0286;703349;703349;COLEGIO MASTER;CENTRO EDUCACIONAL MASTER LTDA;3413105000241;"03;04;05;07"
B0287;703349;703349;COLEGIO MASTER;CENTRO EDUCACIONAL MASTER LTDA;3413105000322;"03;04;05;07"
0359B;75671;75671;FAE;FAE SISTEMAS DE MEDICAO S/A ;7281413000130;"01;02;03;04;05;06;07"
04VFK;930927;930927;ELLCA;ELLCA 2 SERVIÇOS & LOCAÇOES LTDA ;20293552000142;"01;02;03;04;05;06;07"
13602;235131;235131;REDE MAQUINAS;REDEMAQUINAS COMÉRCIO E SERVIÇOS DE MÁQUINAS E EQUIPAMENTOS LTDA;2710353000100;"01;02;03;04;05;06;07"
